date,state,in_lockdown,Community Sport,Schools,Gyms,Place worship,Clubs,Dine in,Indoor gathering,Outdoor gathering
02-05-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-05-20,New South Wales,0,0,0,0,0,0,0,0,0
02-05-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-05-20,Queensland,0,0,0,0,0,0,0,0,0
02-05-20,South Australia,0,0,0,0,0,0,0,0,0
02-05-20,Tasmania,0,0,0,0,0,0,0,0,0
02-05-20,Victoria,0,0,0,0,0,0,0,0,0
02-05-20,Western Australia,0,0,0,0,0,0,0,0,0
02-06-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-06-20,New South Wales,0,0,0,0,0,0,0,0,0
02-06-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-06-20,Queensland,0,0,0,0,0,0,0,0,0
02-06-20,South Australia,0,0,0,0,0,0,0,0,0
02-06-20,Tasmania,0,0,0,0,0,0,0,0,0
02-06-20,Victoria,0,0,0,0,0,0,0,0,0
02-06-20,Western Australia,0,0,0,0,0,0,0,0,0
02-07-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-07-20,New South Wales,0,0,0,0,0,0,0,0,0
02-07-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-07-20,Queensland,0,0,0,0,0,0,0,0,0
02-07-20,South Australia,0,0,0,0,0,0,0,0,0
02-07-20,Tasmania,0,0,0,0,0,0,0,0,0
02-07-20,Victoria,0,0,0,0,0,0,0,0,0
02-07-20,Western Australia,0,0,0,0,0,0,0,0,0
02-08-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-08-20,New South Wales,0,0,0,0,0,0,0,0,0
02-08-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-08-20,Queensland,0,0,0,0,0,0,0,0,0
02-08-20,South Australia,0,0,0,0,0,0,0,0,0
02-08-20,Tasmania,0,0,0,0,0,0,0,0,0
02-08-20,Victoria,0,0,0,0,0,0,0,0,0
02-08-20,Western Australia,0,0,0,0,0,0,0,0,0
02-09-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-09-20,New South Wales,0,0,0,0,0,0,0,0,0
02-09-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-09-20,Queensland,0,0,0,0,0,0,0,0,0
02-09-20,South Australia,0,0,0,0,0,0,0,0,0
02-09-20,Tasmania,0,0,0,0,0,0,0,0,0
02-09-20,Victoria,0,0,0,0,0,0,0,0,0
02-09-20,Western Australia,0,0,0,0,0,0,0,0,0
02-10-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-10-20,New South Wales,0,0,0,0,0,0,0,0,0
02-10-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-10-20,Queensland,0,0,0,0,0,0,0,0,0
02-10-20,South Australia,0,0,0,0,0,0,0,0,0
02-10-20,Tasmania,0,0,0,0,0,0,0,0,0
02-10-20,Victoria,0,0,0,0,0,0,0,0,0
02-10-20,Western Australia,0,0,0,0,0,0,0,0,0
02-11-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-11-20,New South Wales,0,0,0,0,0,0,0,0,0
02-11-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-11-20,Queensland,0,0,0,0,0,0,0,0,0
02-11-20,South Australia,0,0,0,0,0,0,0,0,0
02-11-20,Tasmania,0,0,0,0,0,0,0,0,0
02-11-20,Victoria,0,0,0,0,0,0,0,0,0
02-11-20,Western Australia,0,0,0,0,0,0,0,0,0
02-12-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
02-12-20,New South Wales,0,0,0,0,0,0,0,0,0
02-12-20,Northern Territory,0,0,0,0,0,0,0,0,0
02-12-20,Queensland,0,0,0,0,0,0,0,0,0
02-12-20,South Australia,0,0,0,0,0,0,0,0,0
02-12-20,Tasmania,0,0,0,0,0,0,0,0,0
02-12-20,Victoria,0,0,0,0,0,0,0,0,0
02-12-20,Western Australia,0,0,0,0,0,0,0,0,0
2/13/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/13/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/13/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/13/2020,Queensland,0,0,0,0,0,0,0,0,0
2/13/2020,South Australia,0,0,0,0,0,0,0,0,0
2/13/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/13/2020,Victoria,0,0,0,0,0,0,0,0,0
2/13/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/14/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/14/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/14/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/14/2020,Queensland,0,0,0,0,0,0,0,0,0
2/14/2020,South Australia,0,0,0,0,0,0,0,0,0
2/14/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/14/2020,Victoria,0,0,0,0,0,0,0,0,0
2/14/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/15/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/15/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/15/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/15/2020,Queensland,0,0,0,0,0,0,0,0,0
2/15/2020,South Australia,0,0,0,0,0,0,0,0,0
2/15/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/15/2020,Victoria,0,0,0,0,0,0,0,0,0
2/15/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/16/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/16/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/16/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/16/2020,Queensland,0,0,0,0,0,0,0,0,0
2/16/2020,South Australia,0,0,0,0,0,0,0,0,0
2/16/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/16/2020,Victoria,0,0,0,0,0,0,0,0,0
2/16/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/17/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/17/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/17/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/17/2020,Queensland,0,0,0,0,0,0,0,0,0
2/17/2020,South Australia,0,0,0,0,0,0,0,0,0
2/17/2020,Tasmania,0,0,0,0,0,0,0,0,0
